year,n,mean,ci_lo,ci_hi,metric,variant
1979,94,0.2978723404255319,0.2127659574468085,0.39361702127659576,heartbreak_share,unweighted_all
1980,80,0.3375,0.2375,0.4375,heartbreak_share,unweighted_all
1981,104,0.36538461538461536,0.27860576923076924,0.4519230769230769,heartbreak_share,unweighted_all
1982,93,0.22580645161290322,0.15053763440860216,0.3118279569892473,heartbreak_share,unweighted_all
1983,91,0.3956043956043956,0.2967032967032967,0.4945054945054945,heartbreak_share,unweighted_all
1984,98,0.40816326530612246,0.30612244897959184,0.5,heartbreak_share,unweighted_all
1985,83,0.26506024096385544,0.18072289156626506,0.3614457831325301,heartbreak_share,unweighted_all
1986,86,0.3372093023255814,0.23255813953488372,0.43023255813953487,heartbreak_share,unweighted_all
1987,96,0.3229166666666667,0.22916666666666666,0.4166666666666667,heartbreak_share,unweighted_all
1988,92,0.41304347826086957,0.31521739130434784,0.5217391304347826,heartbreak_share,unweighted_all
1989,93,0.2903225806451613,0.1935483870967742,0.3763440860215054,heartbreak_share,unweighted_all
1990,90,0.4111111111111111,0.3111111111111111,0.5222222222222223,heartbreak_share,unweighted_all
1991,77,0.3246753246753247,0.22077922077922077,0.42857142857142855,heartbreak_share,unweighted_all
1992,77,0.2857142857142857,0.19480519480519481,0.4025974025974026,heartbreak_share,unweighted_all
1993,71,0.352112676056338,0.23943661971830985,0.4788732394366197,heartbreak_share,unweighted_all
1994,76,0.3157894736842105,0.2236842105263158,0.42105263157894735,heartbreak_share,unweighted_all
1995,79,0.31645569620253167,0.22753164556962027,0.4177215189873418,heartbreak_share,unweighted_all
1996,77,0.35064935064935066,0.23376623376623376,0.45454545454545453,heartbreak_share,unweighted_all
1997,84,0.2976190476190476,0.20238095238095238,0.40476190476190477,heartbreak_share,unweighted_all
1998,76,0.42105263157894735,0.3157894736842105,0.5394736842105263,heartbreak_share,unweighted_all
1999,73,0.3287671232876712,0.2191780821917808,0.4383561643835616,heartbreak_share,unweighted_all
2000,71,0.4084507042253521,0.29577464788732394,0.5211267605633803,heartbreak_share,unweighted_all
2001,61,0.22950819672131148,0.13114754098360656,0.32786885245901637,heartbreak_share,unweighted_all
2002,70,0.4,0.2857142857142857,0.5142857142857142,heartbreak_share,unweighted_all
2003,72,0.375,0.2638888888888889,0.486458333333333,heartbreak_share,unweighted_all
2004,65,0.4,0.2923076923076923,0.5230769230769231,heartbreak_share,unweighted_all
2005,64,0.34375,0.234375,0.46875,heartbreak_share,unweighted_all
2006,77,0.33766233766233766,0.23376623376623376,0.44155844155844154,heartbreak_share,unweighted_all
2007,77,0.37662337662337664,0.2727272727272727,0.4935064935064935,heartbreak_share,unweighted_all
2008,105,0.2761904761904762,0.19047619047619047,0.3619047619047619,heartbreak_share,unweighted_all
2009,98,0.3163265306122449,0.23443877551020412,0.40816326530612246,heartbreak_share,unweighted_all
2010,98,0.40816326530612246,0.30612244897959184,0.5102040816326531,heartbreak_share,unweighted_all
2011,102,0.3431372549019608,0.24509803921568626,0.43137254901960786,heartbreak_share,unweighted_all
2012,91,0.2857142857142857,0.1978021978021978,0.38461538461538464,heartbreak_share,unweighted_all
2013,99,0.29292929292929293,0.21212121212121213,0.3838383838383838,heartbreak_share,unweighted_all
2014,92,0.22826086956521738,0.14130434782608695,0.31521739130434784,heartbreak_share,unweighted_all
2015,88,0.25,0.1590909090909091,0.3522727272727273,heartbreak_share,unweighted_all
2016,89,0.33707865168539325,0.24719101123595505,0.43820224719101125,heartbreak_share,unweighted_all
2017,86,0.3372093023255814,0.2441860465116279,0.4418604651162791,heartbreak_share,unweighted_all
2018,106,0.2830188679245283,0.19787735849056606,0.36792452830188677,heartbreak_share,unweighted_all
2019,98,0.2857142857142857,0.20408163265306123,0.3778061224489793,heartbreak_share,unweighted_all
2020,115,0.2956521739130435,0.20869565217391303,0.3826086956521739,heartbreak_share,unweighted_all
2021,107,0.4392523364485981,0.34579439252336447,0.5420560747663551,heartbreak_share,unweighted_all
2022,110,0.36363636363636365,0.2818181818181818,0.45454545454545453,heartbreak_share,unweighted_all
2023,112,0.38392857142857145,0.29464285714285715,0.4732142857142857,heartbreak_share,unweighted_all
2024,113,0.2831858407079646,0.19469026548672566,0.3630530973451325,heartbreak_share,unweighted_all
2025,128,0.3671875,0.2890625,0.4453125,heartbreak_share,unweighted_all
2026,101,0.32673267326732675,0.22772277227722773,0.42574257425742573,heartbreak_share,unweighted_all
1958,76,0.3279714838873107,0.20052226570689402,0.4512163368610413,heartbreak_share,weighted_complete_case
1959,62,0.23052468996955927,0.12782643104500496,0.3426688879104563,heartbreak_share,weighted_complete_case
1960,64,0.3212277957597064,0.21305059603794002,0.4347829059060806,heartbreak_share,weighted_complete_case
1961,67,0.34389537160310124,0.22418916193318786,0.468128519215804,heartbreak_share,weighted_complete_case
1962,70,0.3038272786666059,0.19959211157993673,0.41619298415334327,heartbreak_share,weighted_complete_case
1963,65,0.3923442412117748,0.2691551746292662,0.5111565801053429,heartbreak_share,weighted_complete_case
1964,71,0.35202316662753386,0.23948522954496476,0.4655787263816281,heartbreak_share,weighted_complete_case
1965,60,0.3050538747651367,0.18937297521055962,0.4375964703055701,heartbreak_share,weighted_complete_case
1966,60,0.3265766185374942,0.20983905399727115,0.4476226364687298,heartbreak_share,weighted_complete_case
1967,65,0.2908522679280345,0.17438115206987093,0.40740774876775193,heartbreak_share,weighted_complete_case
1968,62,0.33923598714744735,0.22143033411545218,0.4688943594470483,heartbreak_share,weighted_complete_case
